给输入文本为“深度学习”进行相似度匹配,,
课程名称,相似度,课程评论情感得分
深度学习基础,0.9082117638415869,0.9050837516688942
深度学习及其应用,0.8255416839411117,0.9378454716423807
神经网络与深度学习——TensorFlow实践,0.7786721379692347,0.8983636173113656
深度学习应用开发-TensorFlow实践,0.7586156879431566,0.8989885094450327
深度学习应用开发-TensorFlow实践,0.7586156879431566,0.8989885094450327
C语言学习辅导与习题课,0.7539498689357016,0.8190335006638672
Python与机器学习初步,0.7312335858711024,0.7938871775927936
Python机器学习应用,0.6773994599454715,0.8479453839981165
