id,word2vec
64,"[0.2038385460481924,0.2570597812095109,0.2074839449761545,-0.18616651869652903,0.10152465707677252]"
65,"[0.20230149521547205,0.25604087399209247,0.21418873017982526,-0.1203283473082325,0.1190168419305016]"
66,"[0.21359020277209903,0.24020126749477955,0.21344381210434696,-0.11812806267129337,0.09173991798382738]"
67,"[0.21280017889597835,0.2892778178348261,0.05760486884152188,-0.16857627165668151,0.18870481618625276]"
68,"[0.18130101466720755,0.14348567958751862,0.1852694580500776,-0.12138585657389327,0.028103730302642693]"
69,"[0.16441174054687674,0.19368757713924756,0.16443645242940297,-0.08386027203364806,0.16371643797240473]"
70,"[0.10920367797371,0.26291043870151043,0.03087815906231602,0.007822564182182152,0.09465513898370166]"
71,"[0.10325000035421301,0.2523543084971607,0.030862830424060423,0.031813855903844036,0.09805918011503914]"
72,"[0.2298695531208068,0.19435386860277504,-0.02935558313765796,-0.07553514861501753,0.11767341871745884]"
73,"[0.039525752363260835,0.29733862332068384,0.1299191485159099,-0.06304093648213893,0.09745801705867052]"
74,"[0.14099403737733762,0.24367229143778482,0.13654283620417118,-0.03629375336070855,0.11798342863718668]"
75,"[0.06985636452833811,0.15066537912935019,0.06980304556588332,-0.031076587488253912,0.053891753467420735]"
78,"[0.08837097071643386,0.2417306840153677,0.01699121722153255,-0.008537111205181904,0.09669666018869195]"
76,"[0.12169588636606932,0.23914179476824673,0.10558551278981296,-0.07892818274823102,0.03486947291953997]"
77,"[0.20515715468874465,0.3011498660115259,0.138630295637995,-0.14285681044150675,0.19868473410938997]"
79,"[0.08952196695220967,0.14473400047669807,0.19613783558209735,0.05607649187246958,0.06579555865998069]"
80,"[0.06260314897041429,0.33895211497491057,0.064361908049746,-0.2031872385096821,0.11938776888630608]"
81,"[0.06545748478836483,0.3113560709688398,0.10609216905302471,-0.14571364875882864,0.05810445133182737]"
82,"[0.0758778397974215,0.1331924846591918,0.06920571789439571,0.023113253330321687,0.1397235417052319]"
83,"[0.014650998711585999,0.054751329347491266,0.0767237427830696,0.01123080212622881,0.0014844396710395813]"
84,"[0.07598496843129396,0.15188820256541172,0.03738030940294266,0.05008545058468977,0.10343370757376154]"
85,"[0.03611699053469826,0.17842201581772635,0.09889673855265274,-0.02421296207124696,0.049514400498831976]"
86,"[0.11716186099996169,0.14843770772373924,0.10565710463561118,-0.04361577840366711,0.0732478363594661]"
87,"[0.03969171142671257,0.10803272978713115,0.16631045759034652,-0.007330185850150883,0.06347267345214883]"
88,"[0.0764649595673147,0.21257616010935682,0.09718501959976397,0.013461884111166,0.10972942500130126]"
89,"[0.22619342668489978,0.30407219380140305,0.02355802380903201,-0.11444427073001862,0.1636841107498516]"
90,"[0.39954158551990987,0.48251852840185167,0.2269634209573269,-0.26244307598099115,0.36592962751165037]"
91,"[0.16121532779652625,0.2707958092505578,0.16948466973553877,-0.07699697162024677,0.0252965628169477]"
92,"[0.1496141149351994,0.38409856241196394,0.23198628503208357,-0.10681740737830599,0.15943801399165142]"
93,"[0.21416019399960834,0.17194079835381773,0.278545118868351,-0.16166917441619766,0.16561340975264707]"
